B8,B11,B12,B2,B3,B4,B5,EVI,GNDVI,NDRE,NDVI,SAVI,MSAVI,NDMI,inferred_stage,health_status
2666.5,3611.5833333333335,2192.9583333333335,583.625,861.5416666666666,1023.2083333333334,1540.9583333333333,0.9814715886255304,0.5067602908333333,0.26276325500000003,0.4414958654166667,0.6621541176410757,0.6009776557930498,-0.14917427417345588,maturation,1
2469.5833333333335,3589.3333333333335,2166.3333333333335,525.4166666666666,773.4583333333334,959.4166666666666,1407.6666666666667,0.9298336949019944,0.51767079,0.2683016195833333,0.43561563124999997,0.6533283204831838,0.5953525376109496,-0.18493885185593242,maturation,1
2614.1666666666665,3838.7083333333335,2566.6666666666665,706.75,1011.7083333333334,1431.375,1806.125,0.5758702918531957,0.4441877245833333,0.18477484458333335,0.3008593583333333,0.4512261925960561,0.4473841863632515,-0.1945982186482238,uncertain_vegetative,0
2684.1666666666665,4056.875,2716.2916666666665,690.5,988.1666666666666,1359.0416666666667,1838.4166666666667,0.64158008811788,0.46485288625000004,0.19158775791666668,0.3352678533333333,0.5028327846074161,0.4937107767783668,-0.2093201739016256,uncertain_vegetative,0
2565.0,3995.8333333333335,2706.5,721.875,1012.6666666666666,1444.2083333333333,1832.125,0.5565646730107021,0.4366030575,0.1696950220833333,0.2884998004166667,0.4326881677877686,0.4338725153221314,-0.222977463564873,uncertain_vegetative,0
2772.75,3804.875,2256.4166666666665,652.375,990.125,1343.9583333333333,1818.875,0.6927256865295606,0.47441838541666664,0.21112073145833332,0.3563792429166666,0.534501177605748,0.5100633737698482,-0.15332182767130972,uncertain_vegetative,0
3019.3333333333335,3801.9583333333335,2335.1666666666665,648.9583333333334,964.4166666666666,1280.9166666666667,1813.4166666666667,0.834925747049991,0.5139399495833333,0.25125987125,0.41033342375000004,0.6154262929040993,0.5677868832524382,-0.1104419002839337,maturation,1
2780.1666666666665,3628.875,2201.875,600.5416666666666,896.625,1185.8333333333333,1653.875,0.8286855034561175,0.5107223049999999,0.25582015375,0.40864335291666665,0.6128851289509027,0.5651897392403006,-0.1265715705268637,maturation,1
2806.3333333333335,3662.4583333333335,2174.4166666666665,622.125,916.8333333333334,1182.6666666666667,1704.7916666666667,0.8648673579613848,0.50595192125,0.24607042333333332,0.4139639629166667,0.6208654002999198,0.5703867703374689,-0.12822216932013827,maturation,1
3431.4166666666665,1942.9583333333333,949.1666666666666,291.6666666666667,557.4583333333334,367.0833333333333,929.6666666666666,2.310342173928466,0.7202884720833334,0.5750988754166667,0.8078676945833333,1.2116356986759915,0.8935366826857299,0.28011356641590096,reproductive,1
