system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20221026T140709_20221026T141900_T20HNH_275_0,231,165,140,149,144,182,321,3.2536764705882355,0.36595744,0.27634194,0.38064516,0.5703544575725027,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90838799368446,-33.54511633464356]}"
20221026T140709_20221026T141900_T20HNH_473_0,1298,784,504,692,964,1181,2282,0.768602752507581,0.5346335,0.31793243,0.4060382,0.6089634991529339,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.95578096201863,-33.9693188338056]}"
20221026T140709_20221026T141900_T20HNH_506_0,2601,2153,1006,1004,1340,1523,2132,0.7534246575342465,0.35969388,0.16662107,0.2281106,0.34211663066954645,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.93919183156388,-34.00764223057835]}"
20221026T140709_20221026T141900_T20HNH_636_0,2458,1976,709,864,1166,1338,1718,0.40618101545253865,0.33075136,0.12434555,0.19140083,0.2870514820592824,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90667920074998,-34.029447571762354]}"
20221026T140709_20221026T141900_T20HNH_673_0,3857,3395,2468,2710,2746,3166,3588,1.3536977491961415,0.13940933,0.062481493,0.13293338,0.1993843239403268,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.93124098775755,-34.06373538620912]}"
20221026T140709_20221026T141900_T20HNH_761_0,3209,2744,693,1014,1848,2148,3060,0.3384907557392616,0.5022091,0.17511521,0.24694377,0.37037791586024243,1.666794123545E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90096037332518,-34.103397403600304]}"
20221031T140711_20221031T141406_T20HLH_13_0,4073,3396,1080,1282,1696,1898,2430,0.40714444197914357,0.30926725,0.12292052,0.17789626,0.2668120683387859,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98668197547547,-33.86364248915249]}"
20221031T140711_20221031T141406_T20HLH_24_0,3757,3231,952,1164,1548,1740,2248,0.3979986354332499,0.31770223,0.12738214,0.18440464,0.2765705254839984,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.03613292113724,-33.885332098731126]}"
20221031T140711_20221031T141406_T20HLH_66_0,3779,3427,1094,1376,1882,2041,2608,0.3186446629213483,0.30923694,0.12196171,0.16169265,0.24251196971384034,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.97554317408662,-33.85381067062613]}"
20221031T140711_20221031T141406_T20HLH_193_0,3780,3207,970,1146,1514,1706,2176,0.4152032112393377,0.31005418,0.121071614,0.1794038,0.2690692318114077,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.01968185932259,-33.68363114110453]}"
